sample,pvalue,foldchange
DLGAP1,0.08919605394500353,1.3393426246655227
DLGAP4,1.7760353275313727e-06,1.1878436628717406
DLGAP5,1.1143036755365088e-15,2.3848942545388625
FBXL14,0.0007243359207454029,1.1026351263394303
OIP5,8.187319154251855e-15,2.0008027091200393
FAM169A,1.3410001358578523e-12,1.6002856177371425
MIR506,0.04652199178705329,3.659898416253399
PTPN18,9.11081703341721e-05,1.1211694503609138
MIR505,0.5209327859615464,1.4281340445242328
PTPN13,0.004073793569360954,0.6270145707967317
PTPN12,3.597385387848251e-10,1.2834983629584644
PTPN11,1.5077426083498839e-06,1.1859049682016727
PTPN14,0.5876443700897064,1.0469550025059955
LYAR,1.7172835283686641e-25,1.407020308857049
Mir_154,0.19646939755654333,0.5161147458573478
C2orf81,9.189467751858801e-07,1.3185640572633717
C2orf80,0.4501795719979155,0.7464864275761135
DMRTB1,0.017669611842351468,27.889822211779453
C2orf82,8.829799225682869e-09,2.10743108079929
C2orf84,0.14032660013483728,0.773959842266216
SNORA84,0.772587177276234,1.072816000913498
C2orf89,9.702024072026528e-10,2.3587776454896945
C2orf88,0.005092218700654105,0.7018199061975124
TRAPPC6A,0.006792360345150116,1.0799810168372401
MZB1,0.13600804980100528,0.81507862970713
TRAPPC6B,0.00444161407028906,1.0928932015563249
HLA-DQB1,0.06910986577750158,1.1006112150098861
MSMB,0.026736552492497206,0.7065595557013917
BC139719,0.47228577595841603,0.8838550718869268
LOC100129027,0.016957442849864814,2.159726040848391
CDK4,3.109765262677169e-19,1.1934925790560342
CDK6,3.0345402428877142e-27,1.6161086034517849
CDK7,8.987986410652204e-05,1.1757838209355627
FOXS1,4.1414412402713366e-41,3.5682364788996686
CDK9,3.234759375790249e-08,1.0688387614248247
LOC643733,0.5336422348411949,0.9471598143790314
ZFP161,2.019889739431968e-05,1.1580556336269356
LPAR6,0.362382676907117,1.0606946975669342
CAMKK2,5.3577079957968434e-05,1.1033442738503183
